ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
Cocoon,0,12,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/npc/arachne/cocoon.png,0,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,51,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,102,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,153,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,204,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,255,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,306,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,357,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,408,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,459,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,510,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,561,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,612,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,663,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,714,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,765,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,816,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,867,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,918,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,969,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1020,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1071,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1122,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1173,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1224,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1275,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1326,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1377,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1428,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1479,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1530,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1581,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1632,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1683,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1734,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1785,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1836,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1887,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1938,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,1989,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2040,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2091,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2142,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2193,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2244,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2295,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2346,0,51,54,25.5,54,0,0
graphics/npc/arachne/cocoon.png,2397,0,51,54,25.5,54,0,0
