ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
WalkLeft,1,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/player/default.png,7,65,38,27,19,27,1,0
graphics/player/default.png,54,65,40,24,20,24,1,0
graphics/player/default.png,103,65,38,30,19,30,1,0
graphics/player/default.png,150,65,33,30,16.5,30,1,0
graphics/player/default.png,192,65,33,29,16.5,29,1,0
graphics/player/default.png,234,65,39,32,19.5,32,1,0
graphics/player/default.png,282,65,38,25,19,25,1,0
graphics/player/default.png,329,65,38,30,19,30,1,0
