ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
WerewolfUniqueJumpAttack,0,15,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/player/werewolf/unique/werewolf(unique).png,7,635,71,64,35.5,64,0,0
graphics/player/werewolf/unique/werewolf(unique).png,87,635,61,65,30.5,65,0,0
graphics/player/werewolf/unique/werewolf(unique).png,157,635,99,58,49.5,58,0,0
graphics/player/werewolf/unique/werewolf(unique).png,265,635,99,59,49.5,59,0,0
graphics/player/werewolf/unique/werewolf(unique).png,373,635,80,54,40,54,0,0
graphics/player/werewolf/unique/werewolf(unique).png,462,635,80,54,40,54,0,0
graphics/player/werewolf/unique/werewolf(unique).png,551,635,80,54,40,54,0,0
